Customer ID,Age,Gender,Country,Language
CUST0001,56,Female,France,EN
CUST0002,69,Male,Germany,IT
CUST0003,46,Male,Spain,IT
CUST0004,32,Female,Spain,FR
CUST0005,60,Male,USA,DE
CUST0006,25,Male,UK,EN
CUST0007,38,Female,Germany,FR
CUST0008,56,Male,UK,DE
CUST0009,36,Male,Germany,DE
CUST0010,40,Male,USA,ES
CUST0011,28,Female,USA,EN
CUST0012,28,Female,Spain,DE
CUST0013,41,Female,UK,FR
CUST0014,53,Male,Italy,ES
CUST0015,57,Male,Spain,EN
CUST0016,41,Female,UK,IT
CUST0017,20,Male,Spain,FR
CUST0018,39,Male,Italy,DE
CUST0019,19,Female,France,DE
CUST0020,41,Female,France,FR
CUST0021,61,Male,France,DE
CUST0022,47,Male,France,ES
CUST0023,55,Male,Netherlands,EN
CUST0024,19,Female,Germany,ES
CUST0025,38,Female,Netherlands,DE
CUST0026,50,Female,Netherlands,IT
CUST0027,29,Female,Netherlands,EN
CUST0028,39,Male,France,EN
CUST0029,61,Female,Italy,FR
CUST0030,42,Female,USA,FR
CUST0031,66,Female,USA,IT
CUST0032,44,Female,Germany,EN
CUST0033,59,Female,France,IT
CUST0034,45,Male,France,FR
CUST0035,33,Male,France,FR
CUST0036,32,Female,Spain,EN
CUST0037,64,Male,UK,ES
CUST0038,68,Female,Spain,DE
CUST0039,61,Female,UK,FR
CUST0040,69,Male,France,FR
CUST0041,20,Male,France,ES
CUST0042,54,Female,Spain,ES
CUST0043,68,Female,Spain,IT
CUST0044,24,Female,UK,IT
CUST0045,38,Male,USA,DE
CUST0046,26,Female,UK,DE
CUST0047,56,Female,Spain,EN
CUST0048,35,Female,Italy,IT
CUST0049,21,Male,Spain,FR
CUST0050,42,Female,Italy,IT
CUST0051,31,Female,Germany,FR
CUST0052,67,Male,Spain,ES
CUST0053,26,Female,Germany,IT
CUST0054,43,Female,USA,ES
CUST0055,19,Male,UK,DE
CUST0056,37,Female,Italy,DE
CUST0057,45,Male,UK,EN
CUST0058,64,Male,Germany,IT
CUST0059,24,Female,Italy,ES
CUST0060,61,Female,UK,FR
CUST0061,25,Female,Spain,DE
CUST0062,64,Female,France,DE
CUST0063,52,Male,Germany,FR
CUST0064,31,Female,UK,ES
CUST0065,34,Male,Germany,ES
CUST0066,53,Female,Netherlands,IT
CUST0067,67,Female,Germany,IT
CUST0068,57,Female,Italy,EN
CUST0069,21,Male,Netherlands,DE
CUST0070,19,Female,Italy,IT
CUST0071,23,Female,France,ES
CUST0072,59,Female,Netherlands,FR
CUST0073,21,Female,Spain,ES
CUST0074,46,Male,Germany,DE
CUST0075,35,Female,UK,ES
CUST0076,43,Male,USA,EN
CUST0077,61,Male,Germany,DE
CUST0078,51,Male,Germany,FR
CUST0079,27,Male,France,EN
CUST0080,53,Male,Spain,DE
CUST0081,31,Male,USA,FR
CUST0082,48,Female,Netherlands,EN
CUST0083,65,Male,Netherlands,EN
CUST0084,32,Male,Netherlands,DE
CUST0085,25,Male,Italy,IT
CUST0086,31,Female,Italy,EN
CUST0087,40,Female,UK,EN
CUST0088,57,Male,USA,FR
CUST0089,38,Female,Netherlands,ES
CUST0090,33,Male,Italy,DE
CUST0091,62,Male,UK,DE
CUST0092,35,Female,Spain,IT
CUST0093,64,Male,UK,IT
CUST0094,41,Female,Italy,DE
CUST0095,43,Female,France,IT
CUST0096,42,Male,France,FR
CUST0097,62,Male,Netherlands,DE
CUST0098,58,Female,France,IT
CUST0099,46,Male,Netherlands,DE
CUST0100,32,Male,Netherlands,ES
CUST0101,62,Male,Italy,EN
CUST0102,18,Female,France,DE
CUST0103,42,Female,Netherlands,EN
CUST0104,24,Male,USA,IT
CUST0105,26,Female,Spain,EN
CUST0106,41,Female,UK,DE
CUST0107,18,Female,UK,ES
CUST0108,61,Female,Italy,IT
CUST0109,25,Female,France,DE
CUST0110,41,Male,France,IT
CUST0111,28,Male,Netherlands,FR
CUST0112,68,Male,Germany,EN
CUST0113,34,Female,Netherlands,FR
CUST0114,25,Female,Spain,DE
CUST0115,52,Male,USA,ES
CUST0116,52,Female,UK,IT
CUST0117,50,Male,Netherlands,EN
CUST0118,22,Male,Germany,IT
CUST0119,59,Male,Germany,DE
CUST0120,56,Female,Netherlands,IT
CUST0121,58,Female,Italy,EN
CUST0122,45,Male,UK,DE
CUST0123,24,Male,Italy,IT
CUST0124,26,Male,USA,ES
CUST0125,25,Male,Germany,DE
CUST0126,29,Female,Germany,DE
CUST0127,51,Female,Spain,ES
CUST0128,50,Male,USA,FR
CUST0129,65,Male,Germany,EN
CUST0130,40,Female,USA,FR
CUST0131,41,Female,UK,IT
CUST0132,54,Male,France,ES
CUST0133,52,Male,Germany,FR
CUST0134,61,Male,Spain,DE
CUST0135,57,Female,UK,IT
CUST0136,39,Female,Netherlands,IT
CUST0137,44,Female,USA,FR
CUST0138,52,Male,Netherlands,FR
CUST0139,18,Male,Italy,ES
CUST0140,52,Female,UK,EN
CUST0141,54,Female,Netherlands,FR
CUST0142,64,Male,Germany,FR
CUST0143,31,Female,USA,DE
CUST0144,20,Female,France,IT
CUST0145,18,Male,UK,EN
CUST0146,22,Female,Germany,DE
CUST0147,43,Male,Spain,ES
CUST0148,31,Male,Italy,ES
CUST0149,56,Male,USA,FR
CUST0150,44,Male,UK,FR
CUST0151,26,Male,UK,ES
CUST0152,32,Male,France,FR
CUST0153,32,Male,France,EN
CUST0154,43,Female,Spain,FR
CUST0155,59,Male,Italy,IT
CUST0156,30,Male,Spain,FR
CUST0157,68,Female,Germany,DE
CUST0158,49,Female,Germany,EN
CUST0159,56,Female,Spain,DE
CUST0160,66,Male,Italy,DE
CUST0161,69,Female,Spain,IT
CUST0162,49,Male,Italy,EN
CUST0163,21,Male,Italy,EN
CUST0164,47,Male,Netherlands,EN
CUST0165,54,Male,USA,EN
CUST0166,40,Female,Italy,EN
CUST0167,56,Female,France,IT
CUST0168,62,Male,Italy,FR
CUST0169,32,Male,Italy,DE
CUST0170,60,Male,Italy,EN
CUST0171,46,Female,Netherlands,FR
CUST0172,53,Male,Netherlands,FR
CUST0173,30,Male,Germany,DE
CUST0174,49,Female,Netherlands,IT
CUST0175,24,Female,France,ES
CUST0176,68,Male,France,ES
CUST0177,39,Female,Netherlands,FR
CUST0178,45,Female,Spain,DE
CUST0179,19,Male,USA,ES
CUST0180,59,Female,Netherlands,FR
CUST0181,62,Male,Italy,IT
CUST0182,23,Female,UK,ES
CUST0183,45,Male,USA,FR
CUST0184,45,Male,USA,FR
CUST0185,61,Male,France,EN
CUST0186,61,Female,USA,IT
CUST0187,37,Male,Netherlands,EN
CUST0188,47,Female,Italy,DE
CUST0189,28,Male,Italy,EN
CUST0190,45,Male,Germany,EN
CUST0191,42,Female,Italy,ES
CUST0192,56,Male,Italy,FR
CUST0193,50,Male,France,IT
CUST0194,18,Female,Italy,EN
CUST0195,44,Male,Germany,IT
CUST0196,69,Male,UK,EN
CUST0197,30,Male,Netherlands,DE
CUST0198,58,Male,France,EN
CUST0199,20,Female,UK,ES
CUST0200,56,Female,France,FR
CUST0201,23,Male,Spain,DE
CUST0202,25,Female,USA,EN
CUST0203,44,Male,Spain,IT
CUST0204,26,Female,Italy,DE
CUST0205,54,Male,UK,DE
CUST0206,50,Male,Italy,EN
CUST0207,68,Male,USA,DE
CUST0208,59,Male,France,IT
CUST0209,61,Male,USA,DE
CUST0210,41,Male,Germany,IT
CUST0211,32,Female,USA,EN
