Booking ID,Customer ID,Destination,Booking Date,Travel Date,Booking Status,Revenue,Booking Channel,Consultant,Country,Device,Trip Length,Adults,Children
BKG00001,CUST0221,San Francisco,2023-09-03,2024-10-13,Confirmed,2659,Agent,Consultant_11,UK,Mobile,3,4,0
BKG00002,CUST0119,Vienna,2024-10-22,2023-07-26,Cancelled,2949,Phone,Consultant_17,Germany,Mobile,6,2,0
BKG00003,CUST0309,Madrid,2024-01-30,2024-01-27,Confirmed,4330,Agent,Consultant_10,Italy,Tablet,12,2,0
BKG00004,CUST0183,Copenhagen,2024-05-01,2023-12-10,Confirmed,621,App,Consultant_12,Italy,Tablet,5,4,2
BKG00005,CUST0288,Tokyo,2024-04-20,2025-04-16,Confirmed,4868,Agent,Consultant_17,Spain,Mobile,11,1,2
BKG00006,CUST0307,Rio,2024-05-31,2025-05-27,Confirmed,1817,Website,Consultant_4,Spain,Mobile,5,3,2
BKG00007,CUST0300,Vienna,2023-07-03,2023-05-07,Confirmed,4993,Website,Consultant_2,Germany,Desktop,8,2,1
BKG00008,CUST0082,Cape Town,2023-01-20,2023-08-31,Confirmed,3018,Website,Consultant_11,Netherlands,Tablet,8,3,2
BKG00009,CUST0454,Rio,2024-07-11,2025-05-08,Confirmed,5580,Agent,Consultant_7,Germany,Tablet,14,4,2
BKG00010,CUST0402,Madrid,2024-06-07,2023-06-16,Pending,1730,Website,Consultant_2,Germany,Mobile,3,3,1
BKG00011,CUST0211,Oslo,2024-08-04,2023-02-05,Cancelled,1633,Website,Consultant_18,France,Mobile,18,1,1
BKG00012,CUST0150,Athens,2024-06-12,2023-05-19,Pending,1801,Website,Consultant_4,USA,Tablet,7,4,0
BKG00013,CUST0037,Athens,2023-05-27,2024-07-30,Confirmed,4534,App,Consultant_8,France,Desktop,11,1,1
BKG00014,CUST0352,Helsinki,2024-10-27,2023-03-10,Pending,2410,Agent,Consultant_20,Spain,Mobile,12,4,1
BKG00015,CUST0312,Dubai,2023-10-31,2024-11-22,Confirmed,7212,Agent,Consultant_14,USA,Tablet,15,1,2
BKG00016,CUST0361,Milan,2024-09-11,2024-03-30,Confirmed,2005,Phone,Consultant_12,Spain,Tablet,17,4,0
BKG00017,CUST0059,Cape Town,2024-08-04,2024-10-21,Confirmed,3685,Agent,Consultant_18,France,Desktop,14,1,0
BKG00018,CUST0131,San Francisco,2024-11-25,2023-10-18,Confirmed,2416,App,Consultant_11,Spain,Desktop,7,4,1
BKG00019,CUST0412,Seoul,2023-08-16,2024-03-31,Confirmed,7540,Agent,Consultant_8,Germany,Mobile,7,1,2
BKG00020,CUST0202,Helsinki,2023-04-12,2023-04-27,Confirmed,5415,App,Consultant_2,Germany,Mobile,20,4,2
BKG00021,CUST0243,Barcelona,2024-08-09,2024-05-09,Confirmed,7496,App,Consultant_15,Italy,Mobile,14,1,2
BKG00022,CUST0035,Copenhagen,2024-02-21,2023-04-16,Confirmed,4048,Agent,Consultant_9,Spain,Tablet,5,2,2
BKG00023,CUST0445,Prague,2023-08-04,2024-05-15,Confirmed,3257,Phone,Consultant_19,UK,Mobile,9,3,1
BKG00024,CUST0093,San Francisco,2024-02-11,2024-03-19,Confirmed,2456,Website,Consultant_20,Germany,Tablet,19,4,2
BKG00025,CUST0438,Dubai,2024-02-03,2025-05-04,Confirmed,6964,Website,Consultant_8,Spain,Mobile,20,1,0
BKG00026,CUST0447,Tokyo,2024-05-13,2025-01-25,Cancelled,678,Agent,Consultant_19,Netherlands,Desktop,3,2,0
BKG00027,CUST0207,Sydney,2024-04-09,2024-05-01,Cancelled,1396,Agent,Consultant_5,Germany,Desktop,7,4,1
BKG00028,CUST0353,Madrid,2024-11-21,2023-11-11,Confirmed,6862,App,Consultant_11,France,Tablet,4,4,2
BKG00029,CUST0391,Helsinki,2023-03-23,2023-09-26,Confirmed,7432,Agent,Consultant_15,USA,Desktop,3,4,2
BKG00030,CUST0332,Istanbul,2024-08-26,2024-12-07,Confirmed,6568,App,Consultant_8,Italy,Tablet,9,3,2
BKG00031,CUST0305,Helsinki,2024-11-17,2024-09-20,Cancelled,2051,Phone,Consultant_19,Netherlands,Tablet,13,1,2
BKG00032,CUST0350,Vienna,2023-12-31,2024-11-13,Confirmed,991,Agent,Consultant_8,Spain,Desktop,13,1,1
BKG00033,CUST0213,Cape Town,2023-06-12,2024-12-02,Confirmed,560,Website,Consultant_19,Germany,Tablet,20,4,2
BKG00034,CUST0159,Vienna,2023-02-17,2024-08-10,Confirmed,1577,Website,Consultant_18,France,Desktop,19,4,1
BKG00035,CUST0442,Cape Town,2024-05-25,2024-02-06,Confirmed,6299,Agent,Consultant_10,UK,Mobile,4,4,2
BKG00036,CUST0445,Prague,2023-11-25,2024-06-08,Confirmed,7181,App,Consultant_7,Spain,Mobile,9,2,2
BKG00037,CUST0024,Copenhagen,2023-04-26,2024-10-15,Cancelled,3395,Website,Consultant_9,Netherlands,Desktop,9,4,0
BKG00038,CUST0404,Dubai,2023-12-03,2023-03-16,Confirmed,7631,App,Consultant_1,Italy,Desktop,12,3,1
